;FECHA;TMAX;TMIN;HR;PP
595;2011-10-12;;;;0.0
596;2011-10-13;;;;0.0
597;2011-10-14;;;;0.0
598;2011-10-15;;;;0.0
599;2011-10-16;;;;0.0
600;2011-10-17;;;;0.0
601;2011-10-18;;;;0.0
602;2011-10-19;;;;0.0
603;2011-10-20;;;;0.0
604;2011-10-21;;;;0.0
605;2011-10-22;;;;10.0
606;2011-10-23;;;;5.0
607;2011-10-24;;;;0.0
608;2011-10-25;;;;0.0
609;2011-10-26;;;;10.0
610;2011-10-27;;;;80.0
611;2011-10-28;;;;0.0
612;2011-10-29;;;;0.0
613;2011-10-30;;;;0.0
614;2011-10-31;;;;0.0
615;2011-10-01;;;;4.0
616;2011-10-02;;;;15.5
617;2011-10-03;;;;7.0
618;2011-10-04;;;;12.0
619;2011-10-05;;;;0.0
620;2011-10-06;;;;24.0
621;2011-10-07;;;;5.0
622;2011-10-08;;;;22.6
623;2011-10-09;;;;0.0
624;2011-10-10;;;;0.0
625;2011-10-11;;;;0.0
626;2011-10-12;;;;0.0
627;2011-10-13;;;;0.0
628;2011-10-14;;;;0.0
629;2011-10-15;;;;0.0
630;2011-10-16;;;;0.0
631;2011-10-17;;;;0.0
632;2011-10-18;;;;0.0
633;2011-10-19;;;;0.0
634;2011-10-20;;;;0.0
635;2011-10-21;;;;0.0
636;2011-10-22;;;;10.0
637;2011-10-23;;;;5.0
638;2011-10-24;;;;0.0
639;2011-10-25;;;;0.0
640;2011-10-26;;;;10.0
641;2011-10-27;;;;80.0
642;2011-10-28;;;;0.0
643;2011-10-29;;;;0.0
644;2011-10-30;;;;0.0
645;2011-10-31;;;;0.0
646;2011-11-01;;;;0.0
647;2011-11-01;;;;5.0
648;2011-11-02;;;;0.0
649;2011-11-03;;;;23.5
650;2011-11-04;;;;0.0
651;2011-11-05;;;;0.0
652;2011-11-06;;;;2.5
653;2011-11-07;;;;18.5
654;2011-11-08;;;;0.0
655;2011-11-09;;;;0.0
656;2011-11-10;;;;0.0
657;2011-11-11;;;;34.7
658;2011-11-12;;;;0.0
659;2011-11-13;;;;0.0
660;2011-11-14;;;;11.5
661;2011-11-15;;;;12.6
662;2011-11-16;;;;0.0
663;2011-11-17;;;;4.9
664;2011-11-18;;;;1.8
665;2011-11-19;;;;6.5
666;2011-11-20;;;;0.0
667;2011-11-21;;;;0.0
668;2011-11-22;;;;0.0
669;2011-11-23;;;;8.0
670;2011-11-24;;;;2.0
671;2011-11-25;;;;0.0
672;2011-11-26;;;;5.7
673;2011-11-27;;;;0.0
674;2011-11-28;;;;0.0
675;2011-11-29;;;;1.0
676;2011-11-30;;;;0.0
677;2011-12-01;;;;54.8
678;2011-12-02;;;;0.0
679;2011-12-03;;;;15.9
680;2011-12-04;;;;34.8
681;2011-12-05;;;;0.0
682;2011-12-06;;;;69.0
683;2011-12-07;;;;1.0
684;2011-12-08;;;;35.5
685;2011-12-09;;;;58.3
686;2011-12-10;;;;0.0
687;2011-12-11;;;;0.0
688;2011-12-12;;;;0.0
689;2011-12-13;;;;0.0
690;2011-12-14;;;;0.0
